"tick","run","random_seed","Human Count","Zombie Count"
76.0,1,195083680,61,144
77.0,1,195083680,57,148
78.0,1,195083680,55,150
79.0,1,195083680,52,153
80.0,1,195083680,50,155
81.0,1,195083680,47,158
82.0,1,195083680,47,158
83.0,1,195083680,43,162
84.0,1,195083680,42,163
85.0,1,195083680,40,165
86.0,1,195083680,35,170
87.0,1,195083680,32,173
88.0,1,195083680,31,174
89.0,1,195083680,30,175
90.0,1,195083680,28,177
91.0,1,195083680,27,178
92.0,1,195083680,25,180
93.0,1,195083680,25,180
94.0,1,195083680,23,182
95.0,1,195083680,22,183
96.0,1,195083680,20,185
97.0,1,195083680,18,187
98.0,1,195083680,18,187
99.0,1,195083680,17,188
100.0,1,195083680,13,192
101.0,1,195083680,13,192
102.0,1,195083680,13,192
103.0,1,195083680,12,193
104.0,1,195083680,12,193
105.0,1,195083680,12,193
106.0,1,195083680,12,193
107.0,1,195083680,12,193
108.0,1,195083680,12,193
109.0,1,195083680,12,193
110.0,1,195083680,12,193
111.0,1,195083680,11,194
112.0,1,195083680,11,194
113.0,1,195083680,11,194
114.0,1,195083680,11,194
115.0,1,195083680,10,195
116.0,1,195083680,10,195
117.0,1,195083680,10,195
118.0,1,195083680,9,196
119.0,1,195083680,8,197
120.0,1,195083680,7,198
121.0,1,195083680,6,199
122.0,1,195083680,6,199
123.0,1,195083680,5,200
124.0,1,195083680,4,201
125.0,1,195083680,4,201
126.0,1,195083680,4,201
127.0,1,195083680,4,201
128.0,1,195083680,3,202
129.0,1,195083680,2,203
130.0,1,195083680,2,203
131.0,1,195083680,2,203
132.0,1,195083680,1,204
133.0,1,195083680,1,204
134.0,1,195083680,1,204
135.0,1,195083680,1,204
136.0,1,195083680,1,204
137.0,1,195083680,1,204
138.0,1,195083680,1,204
139.0,1,195083680,1,204
140.0,1,195083680,1,204
141.0,1,195083680,1,204
142.0,1,195083680,1,204
143.0,1,195083680,1,204
144.0,1,195083680,1,204
145.0,1,195083680,1,204
146.0,1,195083680,1,204
147.0,1,195083680,1,204
148.0,1,195083680,1,204
149.0,1,195083680,1,204
150.0,1,195083680,1,204
151.0,1,195083680,1,204
152.0,1,195083680,1,204
153.0,1,195083680,1,204
154.0,1,195083680,1,204
155.0,1,195083680,1,204
156.0,1,195083680,1,204
157.0,1,195083680,1,204
158.0,1,195083680,1,204
159.0,1,195083680,1,204
160.0,1,195083680,1,204
161.0,1,195083680,1,204
162.0,1,195083680,1,204
163.0,1,195083680,1,204
164.0,1,195083680,1,204
165.0,1,195083680,1,204
166.0,1,195083680,1,204
167.0,1,195083680,1,204
168.0,1,195083680,1,204
169.0,1,195083680,1,204
170.0,1,195083680,1,204
171.0,1,195083680,1,204
172.0,1,195083680,1,204
173.0,1,195083680,1,204
174.0,1,195083680,1,204
175.0,1,195083680,1,204
176.0,1,195083680,1,204
177.0,1,195083680,1,204
178.0,1,195083680,1,204
179.0,1,195083680,1,204
180.0,1,195083680,1,204
181.0,1,195083680,1,204
182.0,1,195083680,1,204
183.0,1,195083680,1,204
184.0,1,195083680,1,204
185.0,1,195083680,1,204
186.0,1,195083680,1,204
187.0,1,195083680,1,204
188.0,1,195083680,1,204
189.0,1,195083680,1,204
190.0,1,195083680,1,204
191.0,1,195083680,0,205
192.0,1,195083680,0,205
193.0,1,195083680,0,205
194.0,1,195083680,0,205
195.0,1,195083680,0,205
196.0,1,195083680,0,205
197.0,1,195083680,0,205
198.0,1,195083680,0,205
199.0,1,195083680,0,205
200.0,1,195083680,0,205
201.0,1,195083680,0,205
202.0,1,195083680,0,205
203.0,1,195083680,0,205
204.0,1,195083680,0,205
205.0,1,195083680,0,205
206.0,1,195083680,0,205
207.0,1,195083680,0,205
208.0,1,195083680,0,205
209.0,1,195083680,0,205
210.0,1,195083680,0,205
211.0,1,195083680,0,205
212.0,1,195083680,0,205
213.0,1,195083680,0,205
214.0,1,195083680,0,205
215.0,1,195083680,0,205
216.0,1,195083680,0,205
217.0,1,195083680,0,205
218.0,1,195083680,0,205
219.0,1,195083680,0,205
220.0,1,195083680,0,205
221.0,1,195083680,0,205
222.0,1,195083680,0,205
223.0,1,195083680,0,205
224.0,1,195083680,0,205
225.0,1,195083680,0,205
226.0,1,195083680,0,205
227.0,1,195083680,0,205
228.0,1,195083680,0,205
229.0,1,195083680,0,205
230.0,1,195083680,0,205
231.0,1,195083680,0,205
232.0,1,195083680,0,205
233.0,1,195083680,0,205
234.0,1,195083680,0,205
235.0,1,195083680,0,205
236.0,1,195083680,0,205
237.0,1,195083680,0,205
238.0,1,195083680,0,205
239.0,1,195083680,0,205
240.0,1,195083680,0,205
241.0,1,195083680,0,205
242.0,1,195083680,0,205
243.0,1,195083680,0,205
244.0,1,195083680,0,205
245.0,1,195083680,0,205
246.0,1,195083680,0,205
247.0,1,195083680,0,205
248.0,1,195083680,0,205
249.0,1,195083680,0,205
250.0,1,195083680,0,205
251.0,1,195083680,0,205
252.0,1,195083680,0,205
253.0,1,195083680,0,205
254.0,1,195083680,0,205
255.0,1,195083680,0,205
256.0,1,195083680,0,205
257.0,1,195083680,0,205
258.0,1,195083680,0,205
259.0,1,195083680,0,205
260.0,1,195083680,0,205
261.0,1,195083680,0,205
262.0,1,195083680,0,205
263.0,1,195083680,0,205
264.0,1,195083680,0,205
265.0,1,195083680,0,205
266.0,1,195083680,0,205
267.0,1,195083680,0,205
268.0,1,195083680,0,205
269.0,1,195083680,0,205
270.0,1,195083680,0,205
271.0,1,195083680,0,205
272.0,1,195083680,0,205
273.0,1,195083680,0,205
274.0,1,195083680,0,205
275.0,1,195083680,0,205
276.0,1,195083680,0,205
277.0,1,195083680,0,205
278.0,1,195083680,0,205
279.0,1,195083680,0,205
280.0,1,195083680,0,205
281.0,1,195083680,0,205
282.0,1,195083680,0,205
283.0,1,195083680,0,205
284.0,1,195083680,0,205
285.0,1,195083680,0,205
286.0,1,195083680,0,205
287.0,1,195083680,0,205
288.0,1,195083680,0,205
289.0,1,195083680,0,205
290.0,1,195083680,0,205
291.0,1,195083680,0,205
292.0,1,195083680,0,205
293.0,1,195083680,0,205
294.0,1,195083680,0,205
295.0,1,195083680,0,205
296.0,1,195083680,0,205
297.0,1,195083680,0,205
298.0,1,195083680,0,205
299.0,1,195083680,0,205
300.0,1,195083680,0,205
